name,id,group,abbrev,snp,neg_nat_log,p
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs76904798,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs76904798,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs76904798,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs76904798,0,1
Ovary,E097,Other,OVRY,rs76904798,0,1
Placenta,E091,Other,PLCNT.FET,rs76904798,0,1
Thymus,E112,Thymus,THYM,rs76904798,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs14235,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs1555399,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs1555399,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs1555399,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs1555399,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs1555399,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs1555399,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs1555399,0,1
Liver,E066,Other,LIV.ADLT,rs1555399,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs1555399,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs1555399,0,1
Placenta,E091,Other,PLCNT.FET,rs1555399,0,1
Aorta,E065,Heart,VAS.AOR,rs1555399,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs6812193,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs6812193,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs6812193,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs6812193,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs6812193,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs6812193,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs6812193,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs6812193,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs6812193,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs6812193,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs6812193,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs6812193,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs6812193,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs6812193,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs6812193,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs6812193,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs6812193,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs6812193,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs6812193,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs6812193,0,1
Ovary,E097,Other,OVRY,rs6812193,0,1
Placenta,E091,Other,PLCNT.FET,rs6812193,0,1
Thymus,E112,Thymus,THYM,rs6812193,0,1
Aorta,E065,Heart,VAS.AOR,rs6812193,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs55785911,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs55785911,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs55785911,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs55785911,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs55785911,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs55785911,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs55785911,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs55785911,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs55785911,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs55785911,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs55785911,0,1
Liver,E066,Other,LIV.ADLT,rs55785911,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs55785911,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs55785911,0,1
Ovary,E097,Other,OVRY,rs55785911,0,1
Placenta,E091,Other,PLCNT.FET,rs55785911,0,1
Thymus,E112,Thymus,THYM,rs55785911,0,1
Aorta,E065,Heart,VAS.AOR,rs55785911,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs591323,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs591323,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs591323,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs591323,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs591323,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs591323,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs591323,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs591323,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs591323,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs591323,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs591323,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs591323,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs591323,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs591323,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs591323,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs591323,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs591323,0,1
Liver,E066,Other,LIV.ADLT,rs591323,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs591323,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs591323,0,1
Ovary,E097,Other,OVRY,rs591323,0,1
Placenta,E091,Other,PLCNT.FET,rs591323,0,1
Thymus,E112,Thymus,THYM,rs591323,0,1
Aorta,E065,Heart,VAS.AOR,rs591323,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs3793947,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs3793947,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs3793947,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs3793947,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs3793947,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs3793947,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs3793947,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs3793947,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs3793947,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs3793947,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs3793947,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs3793947,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs3793947,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs3793947,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs3793947,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs3793947,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs3793947,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs3793947,0,1
Liver,E066,Other,LIV.ADLT,rs3793947,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs3793947,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs3793947,0,1
Ovary,E097,Other,OVRY,rs3793947,0,1
Placenta,E091,Other,PLCNT.FET,rs3793947,0,1
Thymus,E112,Thymus,THYM,rs3793947,0,1
Aorta,E065,Heart,VAS.AOR,rs3793947,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs329648,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs329648,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs329648,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs329648,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs329648,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs329648,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs329648,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs329648,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs329648,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs329648,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs329648,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs329648,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs329648,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs329648,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs329648,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs329648,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs329648,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs329648,0,1
Liver,E066,Other,LIV.ADLT,rs329648,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs329648,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs329648,0,1
Ovary,E097,Other,OVRY,rs329648,0,1
Placenta,E091,Other,PLCNT.FET,rs329648,0,1
Thymus,E112,Thymus,THYM,rs329648,0,1
Aorta,E065,Heart,VAS.AOR,rs329648,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs823118,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs823118,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs823118,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs823118,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs823118,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs823118,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs823118,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs823118,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs823118,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs823118,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs823118,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs823118,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs823118,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs823118,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs823118,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs823118,0,1
Liver,E066,Other,LIV.ADLT,rs823118,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs823118,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs823118,0,1
Ovary,E097,Other,OVRY,rs823118,0,1
Aorta,E065,Heart,VAS.AOR,rs823118,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs1955337,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs1955337,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs1955337,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs1955337,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs1955337,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs1955337,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs1955337,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs1955337,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs1955337,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs1955337,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs1955337,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs1955337,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs1955337,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs1955337,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs1955337,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs1955337,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs1955337,0,1
Liver,E066,Other,LIV.ADLT,rs1955337,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs1955337,0,1
Placenta,E091,Other,PLCNT.FET,rs1955337,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs11724635,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs11724635,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs11724635,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs11724635,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs11724635,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs11724635,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs11724635,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs11724635,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs11724635,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs11724635,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs11724635,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs11724635,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs11724635,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs11724635,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs11724635,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs11724635,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs11724635,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs11724635,0,1
Liver,E066,Other,LIV.ADLT,rs11724635,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs11724635,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs11724635,0,1
Ovary,E097,Other,OVRY,rs11724635,0,1
Placenta,E091,Other,PLCNT.FET,rs11724635,0,1
Thymus,E112,Thymus,THYM,rs11724635,0,1
Aorta,E065,Heart,VAS.AOR,rs11724635,0,1
Fetal Adrenal Gland,E080,Other,ADRL.GLND.FET,rs12456492,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs12456492,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs12456492,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs12456492,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs12456492,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs12456492,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs12456492,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs12456492,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs12456492,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs12456492,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs12456492,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs12456492,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs12456492,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs12456492,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs12456492,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs12456492,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs12456492,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs12456492,0,1
Liver,E066,Other,LIV.ADLT,rs12456492,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs12456492,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs12456492,0,1
Ovary,E097,Other,OVRY,rs12456492,0,1
Placenta,E091,Other,PLCNT.FET,rs12456492,0,1
Thymus,E112,Thymus,THYM,rs12456492,0,1
Aorta,E065,Heart,VAS.AOR,rs12456492,0,1
Brain Angular Gyrus,E067,Brain,BRN.ANG.GYR,rs6430538,0,1
Brain Anterior Caudate,E068,Brain,BRN.ANT.CAUD,rs6430538,0,1
Brain Cingulate Gyrus,E069,Brain,BRN.CING.GYR,rs6430538,0,1
Brain_Dorsolateral_Prefrontal_Cortex,E073,Brain,BRN.DL.PRFRNTL.CRTX,rs6430538,0,1
Brain Hippocampus Middle,E071,Brain,BRN.HIPP.MID,rs6430538,0,1
Brain Inferior Temporal Lobe,E072,Brain,BRN.INF.TMP,rs6430538,0,1
Brain Substantia Nigra,E074,Brain,BRN.SUB.NIG,rs6430538,0,1
Sigmoid Colon,E106,Digestive,GI.CLN.SIG,rs6430538,0,1
Duodenum Smooth Muscle,E078,Sm. Muscle,GI.DUO.SM.MUS,rs6430538,0,1
Fetal Intestine Large,E084,Digestive,GI.L.INT.FET,rs6430538,0,1
Rectal Mucosa Donor 29,E101,Digestive,GI.RECT.MUC.29,rs6430538,0,1
Rectal Mucosa Donor 31,E102,Digestive,GI.RECT.MUC.31,rs6430538,0,1
Rectal Smooth Muscle,E103,Sm. Muscle,GI.RECT.SM.MUS,rs6430538,0,1
Fetal Intestine Small,E085,Digestive,GI.S.INT.FET,rs6430538,0,1
Fetal Stomach,E092,Digestive,GI.STMC.FET,rs6430538,0,1
Stomach Smooth Muscle,E111,Sm. Muscle,GI.STMC.MUS,rs6430538,0,1
Left Ventricle,E095,Heart,HRT.VENT.L,rs6430538,0,1
Fetal Muscle Leg,E090,Muscle,MUS.LEG.FET,rs6430538,0,1
Skeletal Muscle Female,E108,Muscle,MUS.SKLT.F,rs6430538,0,1
Ovary,E097,Other,OVRY,rs6430538,0,1
